Time(s)	Temperature(C)
0.04	22.34
1.58	22.34
2.71	22.34
3.95	22.34
5.08	22.83
6.48	22.34
7.61	23.31
8.75	24.78
9.52	24.78
10.30	25.27
11.43	26.25
12.57	26.74
13.70	26.74
14.83	27.22
15.97	27.22
17.10	27.71
18.23	27.71
19.37	27.71
20.50	28.20
21.65	28.20
22.79	28.20
23.92	28.20
25.06	28.20
26.19	28.20
27.32	28.20
28.45	27.71
29.58	27.71
30.72	27.22
31.85	26.74
32.99	26.25
34.13	26.25
35.28	26.25
36.41	25.76
37.55	25.76
38.32	25.27
39.10	24.78
39.88	24.78
40.66	24.78
41.79	25.27
42.92	24.78
44.06	24.78
45.19	24.78
46.32	24.78
47.46	24.78
48.59	24.29
49.72	24.29
50.86	24.29
52.00	24.29
53.13	24.29
54.25	24.29
55.39	24.29
56.53	24.29
57.66	23.80
58.79	23.80
59.93	23.80
61.06	22.34
62.20	20.87
63.34	19.40
64.47	18.91
65.60	18.43
66.73	18.43
67.87	18.43
69.00	18.43
70.14	18.43
71.27	18.43
72.40	18.43
73.54	18.43
74.67	18.91
75.82	18.91
76.95	18.91
78.09	18.91
79.22	18.43
80.35	18.91
81.48	18.91
82.61	19.40
83.74	19.40
84.88	19.89
86.01	19.89
87.15	20.38
88.28	20.38
89.41	20.38
90.55	20.87
91.68	20.87
92.80	20.87
93.93	20.87
95.06	21.36
96.19	21.36
97.33	21.36
98.46	21.36
99.59	21.36
100.73	21.85
101.86	21.85
102.99	21.85
104.13	21.85
105.26	21.85
106.40	21.85
107.53	21.85
108.66	21.85
109.79	22.34
110.94	22.34
112.07	22.34
113.20	22.34
114.35	22.34
115.48	22.34
116.62	22.34
117.75	22.34
118.88	22.34
120.01	22.34
121.16	22.34
122.29	22.34
123.44	22.34
124.57	22.34
125.70	22.34
126.83	22.34
127.97	22.83
129.10	22.83
130.24	22.34
131.38	22.83
132.52	22.83
133.66	22.34
134.79	22.34
135.92	22.83
137.06	22.83
138.21	22.34
139.34	22.83
140.49	22.83
141.64	22.83
142.77	22.83
143.90	22.83
145.06	22.83
146.19	22.83
147.32	22.83
148.45	22.83
149.59	22.83
150.72	22.83
151.85	21.85
152.98	20.87
154.11	19.89
155.24	19.40
156.38	19.40
157.51	18.91
158.64	18.43
159.77	18.43
160.91	18.43
162.06	18.91
163.19	19.40
164.33	19.40
165.46	19.89
166.60	19.89
167.74	20.38
168.87	20.38
170.00	20.38
171.14	20.38
172.27	20.87
173.41	20.87
174.54	20.87
175.69	21.36
176.82	20.87
177.90	21.36
179.03	21.36
180.16	21.36
181.29	21.36
182.42	21.36
183.55	21.85
184.68	21.85
